city,target_date,selected_source,best_policy,forecast_point_f,corrected_point_f,interval_lower_f,interval_upper_f,consensus_corrected_point_f,source_vs_consensus_delta_f,threshold_probability_count,contrarian_promoted,contrarian_correct_rate,contrarian_ci_lower_95,mean_abs_delta_f,walkforward_mae,walkforward_brier,climate_recent_warming_anomaly_f,risk_flags,manual_priority,human_action
nyc,2026-05-22,gfs_ens,gfs_ens,64.28387096774193,64.53187096774194,61.823870967741925,65.83187096774193,,,3,True,0.6899862825788752,0.6554896776345185,1.350123939986954,1.246047063238881,0.067835587060279,-4.281685454545455,missing_consensus_delta;large_recent_climate_anomaly,medium,manual paper-check candidate
chicago,2026-05-22,gfs_ens,gfs_ens,63.79677419354839,64.4498853046595,63.36877419354839,67.33277419354839,,,3,True,0.81292984869326,0.7829640676111341,1.1091780821917805,1.103277763182586,0.0555404945578948,-4.69056,missing_consensus_delta;large_recent_climate_anomaly,medium,manual paper-check candidate
miami,2026-05-22,gfs_ens,gfs_ens,85.08709677419355,86.36243010752689,84.62709677419356,87.56709677419356,,,3,False,0.7551581843191196,0.7226131502551598,0.7788030006523152,0.8857331581910299,0.0507558516539306,-1.4795818181818163,not_contrarian_promoted;missing_consensus_delta,medium,manual paper-check candidate
austin,2026-05-22,gfs_ens,gfs_ens,87.93870967741935,88.73759856630824,87.91870967741936,90.33870967741936,,,3,True,0.8858321870701513,0.8606586437051053,1.2694487932159155,0.7804105835991745,0.0459386196490127,-2.502489090909092,missing_consensus_delta,medium,manual paper-check candidate
la,2026-05-22,gfs_ens,gfs_ens,68.31935483870967,68.33424372759856,66.97935483870967,70.93935483870968,,,3,True,0.8493150684931506,0.8215383447835051,2.306503587736465,0.8510413210733718,0.0483446400983578,-0.3657090909090906,missing_consensus_delta,medium,manual paper-check candidate
denver,2026-05-22,gfs_ens,gfs_ens,64.01935483870967,64.96179928315412,64.09935483870967,67.49935483870969,,,3,False,0.7083906464924347,0.6743250748113016,0.9976125244618396,1.1944698067179575,0.0603430052083658,-3.607485454545455,not_contrarian_promoted;missing_consensus_delta;large_recent_climate_anomaly,medium,manual paper-check candidate
philadelphia,2026-05-22,gfs_ens,gfs_ens,61.06451612903225,62.25384946236558,60.50451612903225,63.344516129032264,,,3,True,0.8367626886145405,0.8081806822993002,1.0915557729941294,0.9826694689435168,0.0565766270221756,-4.202561818181818,missing_consensus_delta;large_recent_climate_anomaly,medium,manual paper-check candidate
houston,2026-05-22,gfs_ens,gfs_ens,92.36129032258064,92.86662365591398,91.66129032258064,96.46129032258064,,,3,True,0.8184319119669876,0.7887597225060536,1.217005870841487,,,-2.444870909090908,missing_walkforward;missing_consensus_delta,skip,manual paper-check candidate
phoenix,2026-05-22,gfs_ens,gfs_ens,91.9709677419355,93.4869677419355,92.73096774193549,95.0109677419355,,,3,True,0.9739368998628258,0.9596526733623952,1.0145466405740378,0.7659592418840316,0.0419375400046784,-3.311872727272726,missing_consensus_delta;large_recent_climate_anomaly,medium,manual paper-check candidate
boston,2026-05-22,gfs_ens,gfs_ens,60.119354838709675,61.189354838709676,57.35535483870967,62.439354838709676,,,3,True,0.7448559670781894,0.7119832134646202,1.595593607305936,1.3296100581722652,0.0724981317379079,-4.365069090909089,missing_consensus_delta;large_recent_climate_anomaly,medium,manual paper-check candidate
