city,target,ticker,snapshot_ts,candle_count,first_ts,last_ts,last_close,last_yes_bid,last_yes_ask,last_mid,last_volume,late_fallback
nyc,2026-05-01,KXHIGHNY-26MAY01-T69,1777636800,60,1777633200,1777636800,,0.01,0.02,0.015,0,False
nyc,2026-05-01,KXHIGHNY-26MAY01-B62.5,1777636800,57,1777633200,1777636800,0.14,0.12,0.14,0.13,6.73,False
nyc,2026-05-01,KXHIGHNY-26MAY01-B68.5,1777636800,56,1777633260,1777636800,,0.09,0.1,0.095,0,False
nyc,2026-05-01,KXHIGHNY-26MAY01-T62,1777636800,40,1777633260,1777636800,,0.02,0.03,0.025,0,False
nyc,2026-05-01,KXHIGHNY-26MAY01-B66.5,1777636800,59,1777633200,1777636800,,0.39,0.41,0.4,0,False
nyc,2026-05-01,KXHIGHNY-26MAY01-B64.5,1777636800,55,1777633200,1777636800,0.41,0.4,0.41,0.405,4.68,False
chicago,2026-05-01,KXHIGHCHI-26MAY01-B50.5,1777636800,58,1777633200,1777636800,,0.15,0.21,0.18,0,False
chicago,2026-05-01,KXHIGHCHI-26MAY01-B52.5,1777636800,57,1777633200,1777636800,,0.04,0.06,0.05,0,False
chicago,2026-05-01,KXHIGHCHI-26MAY01-T55,1777636800,17,1777633260,1777636320,,0.0,0.02,0.01,0,False
chicago,2026-05-01,KXHIGHCHI-26MAY01-B48.5,1777636800,55,1777633200,1777636800,,0.43,0.44,0.435,0,False
chicago,2026-05-01,KXHIGHCHI-26MAY01-T48,1777636800,51,1777633200,1777636800,,0.24,0.26,0.25,0,False
chicago,2026-05-01,KXHIGHCHI-26MAY01-B54.5,1777636800,24,1777633200,1777636200,0.01,0.0,0.01,0.005,9.35,False
miami,2026-05-01,KXHIGHMIA-26MAY01-B88.5,1777636800,45,1777633200,1777636680,0.55,0.49,0.5,0.495,17.99,False
miami,2026-05-01,KXHIGHMIA-26MAY01-B84.5,1777636800,30,1777633260,1777636800,,0.01,0.02,0.015,0,False
miami,2026-05-01,KXHIGHMIA-26MAY01-T84,1777636800,7,1777633500,1777635360,0.01,0.0,0.01,0.005,10.0,False
miami,2026-05-01,KXHIGHMIA-26MAY01-B86.5,1777636800,35,1777633200,1777636560,,0.06,0.07,0.065,0,False
miami,2026-05-01,KXHIGHMIA-26MAY01-T91,1777636800,26,1777633260,1777636440,,0.09,0.1,0.095,0,False
miami,2026-05-01,KXHIGHMIA-26MAY01-B90.5,1777636800,41,1777633320,1777636800,0.4,0.32,0.33,0.325,20.0,False
austin,2026-05-01,KXHIGHAUS-26MAY01-T72,1777636800,2,1777634400,1777636080,,0.0,0.01,0.005,0,False
austin,2026-05-01,KXHIGHAUS-26MAY01-B69.5,1777636800,2,1777633260,1777633860,0.01,0.0,0.01,0.005,2.0,False
austin,2026-05-01,KXHIGHAUS-26MAY01-B65.5,1777636800,54,1777633260,1777636800,,0.07,0.1,0.085,0,False
austin,2026-05-01,KXHIGHAUS-26MAY01-B71.5,1777636800,1,1777634400,1777634400,,0.0,0.01,0.005,0,False
austin,2026-05-01,KXHIGHAUS-26MAY01-T65,1777636800,58,1777633200,1777636800,0.92,0.85,0.93,0.89,54.04,False
austin,2026-05-01,KXHIGHAUS-26MAY01-B67.5,1777636800,30,1777633320,1777636620,0.01,0.01,0.02,0.015,17.0,False
la,2026-05-01,KXHIGHLAX-26MAY01-T68,1777636800,54,1777633200,1777636800,,0.04,0.05,0.045,0,False
la,2026-05-01,KXHIGHLAX-26MAY01-B72.5,1777636800,58,1777633200,1777636800,0.19,0.17,0.18,0.175,25.17,False
la,2026-05-01,KXHIGHLAX-26MAY01-B68.5,1777636800,59,1777633200,1777636800,,0.28,0.29,0.28500000000000003,0,False
la,2026-05-01,KXHIGHLAX-26MAY01-B70.5,1777636800,60,1777633200,1777636800,,0.48,0.5,0.49,0,False
la,2026-05-01,KXHIGHLAX-26MAY01-T75,1777636800,43,1777633260,1777636800,0.01,0.01,0.02,0.015,5.0,False
la,2026-05-01,KXHIGHLAX-26MAY01-B74.5,1777636800,61,1777633200,1777636800,,0.02,0.03,0.025,0,False
denver,2026-05-01,KXHIGHDEN-26MAY01-B58.5,1777636800,54,1777633200,1777636800,,0.14,0.17,0.15500000000000003,0,False
denver,2026-05-01,KXHIGHDEN-26MAY01-B60.5,1777636800,54,1777633260,1777636800,,0.38,0.42,0.4,0,False
denver,2026-05-01,KXHIGHDEN-26MAY01-T63,1777636800,42,1777633200,1777636800,0.11,0.11,0.15,0.13,753.77,False
denver,2026-05-01,KXHIGHDEN-26MAY01-B56.5,1777636800,58,1777633260,1777636800,,0.03,0.04,0.035,0,False
denver,2026-05-01,KXHIGHDEN-26MAY01-T56,1777636800,19,1777633260,1777636740,,0.0,0.02,0.01,0,False
denver,2026-05-01,KXHIGHDEN-26MAY01-B62.5,1777636800,53,1777633260,1777636800,0.31,0.31,0.32,0.315,8.0,False
philadelphia,2026-05-01,KXHIGHPHIL-26MAY01-T70,1777636800,23,1777633260,1777636800,,0.0,0.02,0.01,0,False
philadelphia,2026-05-01,KXHIGHPHIL-26MAY01-T63,1777636800,4,1777633260,1777635360,0.01,0.0,0.01,0.005,10.0,False
philadelphia,2026-05-01,KXHIGHPHIL-26MAY01-B69.5,1777636800,58,1777633200,1777636800,0.05,0.04,0.06,0.05,1.0,False
philadelphia,2026-05-01,KXHIGHPHIL-26MAY01-B65.5,1777636800,61,1777633200,1777636800,,0.36,0.37,0.365,0,False
philadelphia,2026-05-01,KXHIGHPHIL-26MAY01-B67.5,1777636800,59,1777633260,1777636800,,0.46,0.47,0.46499999999999997,0,False
philadelphia,2026-05-01,KXHIGHPHIL-26MAY01-B63.5,1777636800,42,1777633260,1777636800,,0.04,0.05,0.045,0,False
phoenix,2026-05-01,KXHIGHTPHX-26MAY01-T96,1777636800,23,1777633260,1777636800,,0.0,0.02,0.01,0,False
phoenix,2026-05-01,KXHIGHTPHX-26MAY01-T89,1777636800,17,1777633260,1777636800,,0.01,0.02,0.015,0,False
