city,target,ticker,snapshot_hour_utc,candle_count,last_ts,last_close,last_yes_bid,last_yes_ask,last_mid,last_volume
nyc,2026-05-01,KXHIGHNY-26MAY01-T69,4,29,1777608000,,0.02,0.03,0.025,0
nyc,2026-05-01,KXHIGHNY-26MAY01-T69,12,60,1777636800,,0.01,0.02,0.015,0
nyc,2026-05-01,KXHIGHNY-26MAY01-T69,20,24,1777665600,,0.0,0.01,0.005,0
nyc,2026-05-01,KXHIGHNY-26MAY01-B62.5,4,17,1777608000,,0.11,0.12,0.11499999999999999,0
nyc,2026-05-01,KXHIGHNY-26MAY01-B62.5,12,57,1777636800,0.14,0.12,0.14,0.13,6.73
nyc,2026-05-01,KXHIGHNY-26MAY01-B62.5,20,19,1777665420,,0.0,0.01,0.005,0
nyc,2026-05-01,KXHIGHNY-26MAY01-B68.5,4,22,1777607940,,0.03,0.04,0.035,0
nyc,2026-05-01,KXHIGHNY-26MAY01-B68.5,12,56,1777636800,,0.09,0.1,0.095,0
nyc,2026-05-01,KXHIGHNY-26MAY01-B68.5,20,12,1777665300,,0.0,0.01,0.005,0
nyc,2026-05-01,KXHIGHNY-26MAY01-T62,4,22,1777608000,,0.02,0.03,0.025,0
nyc,2026-05-01,KXHIGHNY-26MAY01-T62,12,40,1777636800,,0.02,0.03,0.025,0
nyc,2026-05-01,KXHIGHNY-26MAY01-T62,20,27,1777665600,,0.0,0.01,0.005,0
nyc,2026-05-01,KXHIGHNY-26MAY01-B66.5,4,32,1777607940,,0.31,0.32,0.315,0
nyc,2026-05-01,KXHIGHNY-26MAY01-B66.5,12,59,1777636800,,0.39,0.41,0.4,0
nyc,2026-05-01,KXHIGHNY-26MAY01-B66.5,20,61,1777665600,,0.06,0.1,0.08,0
nyc,2026-05-01,KXHIGHNY-26MAY01-B64.5,4,23,1777607820,,0.46,0.47,0.46499999999999997,0
nyc,2026-05-01,KXHIGHNY-26MAY01-B64.5,12,55,1777636800,0.41,0.4,0.41,0.405,4.68
nyc,2026-05-01,KXHIGHNY-26MAY01-B64.5,20,60,1777665600,0.9,0.89,0.94,0.915,24.64
chicago,2026-05-01,KXHIGHCHI-26MAY01-B50.5,4,44,1777608000,,0.29,0.3,0.295,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-B50.5,12,58,1777636800,,0.15,0.21,0.18,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-B50.5,20,50,1777665600,,0.95,0.96,0.955,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-B52.5,4,27,1777607640,,0.04,0.05,0.045,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-B52.5,12,57,1777636800,,0.04,0.06,0.05,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-B52.5,20,13,1777665600,,0.01,0.03,0.02,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-T55,4,40,1777607820,,0.02,0.03,0.025,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-T55,12,17,1777636320,,0.0,0.02,0.01,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-T55,20,15,1777665480,,0.0,0.01,0.005,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-B48.5,4,39,1777607820,,0.19,0.2,0.195,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-B48.5,12,55,1777636800,,0.43,0.44,0.435,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-B48.5,20,28,1777665600,,0.0,0.01,0.005,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-T48,4,35,1777607940,,0.39,0.4,0.395,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-T48,12,51,1777636800,,0.24,0.26,0.25,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-T48,20,27,1777665600,,0.0,0.01,0.005,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-B54.5,4,40,1777607820,,0.02,0.03,0.025,0
chicago,2026-05-01,KXHIGHCHI-26MAY01-B54.5,12,24,1777636200,0.01,0.0,0.01,0.005,9.35
chicago,2026-05-01,KXHIGHCHI-26MAY01-B54.5,20,12,1777665600,,0.0,0.02,0.01,0
miami,2026-05-01,KXHIGHMIA-26MAY01-B88.5,4,32,1777608000,0.5,0.5,0.51,0.505,38.64
miami,2026-05-01,KXHIGHMIA-26MAY01-B88.5,12,45,1777636680,0.55,0.49,0.5,0.495,17.99
miami,2026-05-01,KXHIGHMIA-26MAY01-B88.5,20,59,1777665600,0.29,0.24,0.28,0.26,45.54
miami,2026-05-01,KXHIGHMIA-26MAY01-B84.5,4,16,1777607880,,0.02,0.03,0.025,0
miami,2026-05-01,KXHIGHMIA-26MAY01-B84.5,12,30,1777636800,,0.01,0.02,0.015,0
miami,2026-05-01,KXHIGHMIA-26MAY01-B84.5,20,39,1777665600,0.01,0.0,0.01,0.005,93.51
miami,2026-05-01,KXHIGHMIA-26MAY01-T84,4,4,1777608000,0.01,0.0,0.01,0.005,333.0
miami,2026-05-01,KXHIGHMIA-26MAY01-T84,12,7,1777635360,0.01,0.0,0.01,0.005,10.0
miami,2026-05-01,KXHIGHMIA-26MAY01-T84,20,37,1777665600,,0.0,0.01,0.005,0
miami,2026-05-01,KXHIGHMIA-26MAY01-B86.5,4,30,1777608000,,0.05,0.06,0.055,0
miami,2026-05-01,KXHIGHMIA-26MAY01-B86.5,12,35,1777636560,,0.06,0.07,0.065,0
miami,2026-05-01,KXHIGHMIA-26MAY01-B86.5,20,61,1777665600,0.82,0.72,0.76,0.74,271.41
miami,2026-05-01,KXHIGHMIA-26MAY01-T91,4,32,1777607940,,0.06,0.07,0.065,0
miami,2026-05-01,KXHIGHMIA-26MAY01-T91,12,26,1777636440,,0.09,0.1,0.095,0
miami,2026-05-01,KXHIGHMIA-26MAY01-T91,20,31,1777665360,,0.0,0.01,0.005,0
miami,2026-05-01,KXHIGHMIA-26MAY01-B90.5,4,39,1777608000,,0.35,0.36,0.355,0
miami,2026-05-01,KXHIGHMIA-26MAY01-B90.5,12,41,1777636800,0.4,0.32,0.33,0.325,20.0
miami,2026-05-01,KXHIGHMIA-26MAY01-B90.5,20,45,1777665360,,0.0,0.01,0.005,0
austin,2026-05-01,KXHIGHAUS-26MAY01-T72,4,1,1777607160,,0.0,0.01,0.005,0
austin,2026-05-01,KXHIGHAUS-26MAY01-T72,12,2,1777636080,,0.0,0.01,0.005,0
austin,2026-05-01,KXHIGHAUS-26MAY01-T72,20,2,1777665000,,0.0,0.01,0.005,0
austin,2026-05-01,KXHIGHAUS-26MAY01-B69.5,4,40,1777607640,,0.03,0.04,0.035,0
austin,2026-05-01,KXHIGHAUS-26MAY01-B69.5,12,2,1777633860,0.01,0.0,0.01,0.005,2.0
austin,2026-05-01,KXHIGHAUS-26MAY01-B69.5,20,3,1777665540,0.05,0.0,0.05,0.025,1.0
austin,2026-05-01,KXHIGHAUS-26MAY01-B65.5,4,33,1777607580,0.53,0.53,0.54,0.535,10.25
austin,2026-05-01,KXHIGHAUS-26MAY01-B65.5,12,54,1777636800,,0.07,0.1,0.085,0
austin,2026-05-01,KXHIGHAUS-26MAY01-B65.5,20,43,1777665600,,0.01,0.03,0.02,0
